Código;Artículo;Precio;Unidad;Familia;Subsección;Activo;Fuente
000126;Cansalada ibèrica;12.95;kg;Carne;Cerdo;Sí;Balanza / catálogo consolidado
000127;Seguí;8.75;kg;Charcutería;Embutidos;Sí;Balanza / catálogo consolidado
000128;Pit gall dindi;12.95;kg;Carne;Pollo;Sí;Balanza / catálogo consolidado
000129;Ous pages 1/2;2.69;ud;Carne;Elaborados Frescos;Sí;Balanza / catálogo consolidado
000130;Morcilla malaguenya;15.95;kg;Charcutería;Embutidos;Sí;Balanza / catálogo consolidado
000131;Xoriço guissar;15.95;kg;Charcutería;Embutidos;Sí;Balanza / catálogo consolidado
000132;Formatge rallat;18.00;kg;Charcutería;Quesos;Sí;Balanza / catálogo consolidado
000133;Secret ibèric;22.50;kg;Carne;Cerdo;Sí;Balanza / catálogo consolidado
000134;Ploma ibèrica;22.50;kg;Carne;Cerdo;Sí;Balanza / catálogo consolidado
000135;Pizza pernil formatge;11.95;ud;Charcutería;Preparados;Sí;Balanza / catálogo consolidado
000136;Pizza ibèrica;13.25;ud;Elaborados;Preparados;Sí;Balanza / catálogo consolidado
000137;Pizza 4 formatges;12.50;ud;Charcutería;Preparados;Sí;Balanza / catálogo consolidado
000138;Pizza tonyina;14.95;ud;Elaborados;Preparados;Sí;Balanza / catálogo consolidado
000139;Cua vedella;21.50;kg;Carne;Ternera;Sí;Balanza / catálogo consolidado
000140;Mini hamburgueses;19.95;kg;Elaborados;Elaborados;Sí;Balanza / catálogo consolidado
000141;Callos;11.95;kg;Elaborados;Preparados;Sí;Balanza / catálogo consolidado
000142;Cap pota;11.95;kg;Elaborados;Preparados;Sí;Balanza / catálogo consolidado
000143;Peus cuits;9.95;kg;Elaborados;Preparados;Sí;Balanza / catálogo consolidado
000144;Pollo;15.00;kg;Carne;Pollo;Sí;Balanza / catálogo consolidado
000149;Salchicha de pollo;17.95;kg;Elaborados;Elaborados;Sí;Ticket 12 · 07/09/2026
001139;Pistón mediano de gallo;1.50;ud;Elaborados;Despensa;Sí;Usuario 07/09/2026
001269;Plumas N.6 de gallo;1.50;ud;Elaborados;Despensa;Sí;Usuario 07/09/2026
006143;Galetta huevo de Nadal el pavo;1.50;ud;Elaborados;Despensa;Sí;Usuario 07/09/2026
009291;Padre panzas;4.90;ud;Elaborados;Despensa;Sí;Usuario 07/09/2026
581025;Crostonets de pan fregits;2.90;ud;Elaborados;Despensa;Sí;Usuario 07/09/2026
584330;Caldo de pollo Cala Abril;5.50;ud;Elaborados;Despensa;Sí;Usuario 07/09/2026
710782;Queso Entremont rallado 70 g;1.70;ud;Elaborados;Despensa;Sí;Usuario 07/09/2026
930009;Caldo de pollo brick 1 litro;3.95;ud;Elaborados;Despensa;Sí;Usuario 07/09/2026
